baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	neg_log10_padj	in_calcium_signaling
ACOX2	940.741975502422	0.0137016087213248	0.239485341579534	0.0572127238809498	0.95437574257214	0.969340617013467	0.0135235892071409	FALSE
ACP1	525.500846780245	0.620182334277417	0.207783122693563	2.98475798340974	0.0028380276952205	0.00693065935777641	2.15922544622195	FALSE
ACP2	710.489152512371	0.461340661971753	0.160376433486205	2.87661130718084	0.00401970399880935	0.00949551158090987	2.02248163221384	FALSE
ACP5	202.922134757989	2.07087704291878	1.58571026460917	1.30596180723418	NA	NA	NA	FALSE
ACP6	1743.64312803739	-1.30746722742379	0.251883878404427	-5.19075391289832	2.09444289819867e-07	1.18599503771666e-06	5.9259171280854	FALSE
ACRBP	96.3400463484415	6.96992844992733	0.830205496590449	8.39542556457643	4.64209808423652e-17	8.98233295971667e-16	15.0466108504214	FALSE
ACSF2	1270.83808436125	2.44026815776332	0.42352000271097	5.76187226611035	8.318594583234e-09	5.89515878970612e-08	7.22950449242396	FALSE
ACSF3	170.926387404781	0.71821509843819	0.320912047516921	2.23804342652583	0.025218223337879	0.0476254553810291	1.32216085869643	FALSE
ACSL1	14642.5316568793	-0.17738770771075	0.265999545712487	-0.666872220535614	0.504853756545729	0.597852422131818	0.223406006920671	FALSE
ACSL3	1437.59741724602	0.659736477411578	0.181951035154294	3.62590120387126	0.000287955439230333	0.000881541968571709	3.05475700692084	FALSE
