gene_symbol	chimp1	chimp2	chimp3	chimp4	macaca1	macaca2	macaca3	macaca4
MED22	466	432	644	509	219	261	353	244
MED23	816	931	1358	1062	895	1090	1459	1146
MED24	1100	923	935	935	182	286	305	302
MED25	1251	977	1622	895	828	1435	1204	976
MED28	231	194	294	231	251	333	383	329
MED29	188	170	250	192	195	178	271	234
MED30	280	202	223	195	92	104	203	112
MED31	564	507	509	521	503	620	810	665
MED4	1873	1355	1729	1673	916	1216	1606	1271
MED6	753	349	462	527	248	330	444	441
MED7	440	359	398	372	229	259	341	242
MED8	645	385	507	606	226	313	511	358
MED9	1507	1292	1934	1322	574	721	1157	848
MEDAG	323	162	61	391	29	33	27	87
MEF2A	8986	8129	13370	8746	6135	7944	9507	7087
MEF2B	230	225	237	227	115	82	214	151
MEF2C	2351	1914	2324	2719	1119	1136	1549	863
MEF2D	4427	3183	4160	2859	1977	2578	4525	3107
MEGF6	231	112	59	253	9	10	20	18
MEGF8	3512	3187	3776	3049	1919	2324	3234	2851
MEIOB	480	274	434	619	1	2	1	0
MEIOC	200	189	313	146	102	174	222	157
MEIS1	630	820	1226	987	232	485	449	352
MEIS2	1715	1009	1534	1257	592	1244	986	1265
MEN1	153	96	100	127	99	116	173	141
MEOX1	1675	369	122	1000	204	80	194	271
MEOX2	1679	1022	452	1496	377	507	655	408
MEPCE	1525	1227	1122	1031	606	946	1158	1258
MERTK	983	556	819	436	138	106	286	174
MESD	398	242	295	407	157	160	215	149
MET	1148	807	891	1258	922	1465	2056	1623
METAP1	1915	1511	3148	1786	731	928	1385	962
METAP1D	477	402	423	430	505	548	1077	505
METAP2	3444	2480	4012	3166	3119	3463	5521	3554
METRNL	1207	1192	1594	1538	451	310	605	601
METTL1	199	91	102	169	169	155	245	227
METTL13	298	311	459	310	148	110	365	218
METTL14	572	451	459	451	288	406	415	263
METTL16	132	151	230	122	121	160	222	178
METTL17	1330	948	1424	1208	412	504	760	617
METTL18	178	124	193	173	140	227	197	133
METTL21A	556	522	599	545	1465	2109	2583	1950
METTL22	449	359	546	548	433	607	1229	632
METTL23	605	526	804	598	251	297	432	294
METTL25	272	208	229	282	97	103	130	74
METTL25B	594	395	558	509	428	507	643	562
METTL26	380	385	462	474	154	147	249	166
METTL3	2210	1462	2284	1940	658	873	1030	875
METTL4	302	188	171	314	141	147	246	173
METTL5	771	1063	1064	1185	308	443	608	405
METTL6	325	233	234	284	221	308	416	325
METTL9	1230	907	1082	1119	524	807	916	744
MEX3B	108	221	88	209	104	98	146	150
MEX3C	1314	1067	953	1329	458	798	674	689
MFAP1	1347	922	1205	1204	667	858	1284	947
MFAP2	147	70	58	256	42	22	71	34
MFAP3	1548	1342	1206	1697	734	1003	1486	873
MFAP3L	245	395	288	445	111	152	224	101
MFAP5	3285	2107	5259	6639	1856	1426	2533	1628
MFF	2747	2753	3629	2956	2275	2723	4362	2716
MFGE8	2693	2805	2052	3294	2152	1616	2018	2084
MFN1	2011	2864	2708	2163	1079	1470	1972	1327
MFN2	26115	26911	29820	23625	12345	14287	21147	15385
MFNG	478	261	484	443	442	368	809	410
MFRP	937	744	389	1258	202	257	426	338
MFSD1	2407	1688	1759	1614	971	1334	1761	721
MFSD10	1307	669	617	1214	379	436	534	479
MFSD11	783	522	943	512	579	759	931	760
MFSD12	209	85	139	121	68	54	95	90
MFSD14A	1694	979	1582	1518	505	662	709	640
MFSD14B	1238	676	1318	1262	605	877	1125	802
MFSD3	344	399	756	452	248	279	476	346
MFSD4A	186	109	236	140	349	310	575	283
MFSD5	509	342	397	510	246	273	443	306
MFSD6	978	1170	2023	1184	317	300	396	434
MFSD8	419	395	624	531	818	880	1697	1140
MGA	1385	1328	1504	1927	803	1116	1411	1092
MGARP	206	36	52	128	810	969	1583	317
MGAT1	1685	1151	1395	1519	673	637	1073	820
MGAT4A	1562	1112	1358	891	431	489	652	606
MGAT4B	7275	5548	6332	6446	3633	3662	6880	4504
MGAT5	954	1579	1447	1282	398	630	650	772
MGLL	6291	8638	5662	8755	2996	2174	4693	3188
MGME1	240	156	236	207	184	322	275	216
MGMT	478	386	283	412	330	328	616	411
MGP	38240	10624	12865	49797	2595	1939	3098	3242
MGRN1	1022	916	915	605	405	382	629	403
MGST1	1307	403	562	462	277	287	496	627
MGST2	2243	2562	2533	2282	1158	1552	2104	1806
MGST3	13437	14116	14094	15406	9817	10586	17380	11692
MIA2	435	318	372	257	216	323	375	278
MIA3	2179	1615	2362	1932	1515	2071	2474	1824
MIB1	58	289	87	239	105	105	168	188
MIB2	1840	1749	1315	1900	694	913	1290	1142
MICAL1	2331	804	719	1474	358	258	872	442
MICAL2	4561	5182	4576	5748	4869	6252	10360	6221
MICAL3	736	596	767	629	494	780	770	736
